City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.64,115.35,62.42,100,92,15.23,AU,1539326381
Cayenne,4.94,-52.33,73.4,100,40,8.75,GF,1539324000
Kouroussa,10.65,-9.88,68.72,98,36,6.73,GN,1539326382
Churachandpur,24.33,93.67,73.4,83,90,3.36,IN,1539325800
Tazmalt,36.39,4.4,62.6,88,20,9.17,DZ,1539324000
Ushuaia,-54.81,-68.31,44.6,70,75,13.87,AR,1539324000
Cape Town,-33.93,18.42,59.0,54,20,20.8,ZA,1539324000
Bredasdorp,-34.53,20.04,62.6,51,48,9.17,ZA,1539324000
Punta Arenas,-53.16,-70.91,42.8,75,0,14.99,CL,1539324000
Rikitea,-23.12,-134.97,71.15,100,92,11.77,PF,1539326384
Tiksi,71.64,128.87,25.79,95,0,3.38,RU,1539326385
Mar del Plata,-46.43,-67.52,45.32,61,0,13.67,AR,1539326177
Carnarvon,-30.97,22.13,62.02,32,92,5.95,ZA,1539326385
Severo-Kurilsk,50.68,156.12,47.89,96,92,13.78,RU,1539326386
Hamilton,32.3,-64.78,75.2,69,40,8.05,BM,1539323700
Mataura,-46.19,168.86,43.48,65,92,14.45,NZ,1539326386
Gwadar,25.12,62.33,88.52,45,0,15.46,PK,1539326387
Roald,62.58,6.12,60.8,51,0,17.22,NO,1539325200
Udachnyy,66.42,112.4,28.31,63,64,3.38,RU,1539326387
Portland,45.52,-122.67,53.06,73,1,3.36,US,1539323760
Prince Rupert,54.32,-130.32,50.0,87,75,10.29,CA,1539324000
Basco,40.33,-91.2,39.92,86,1,5.28,US,1539324900
Srednekolymsk,67.46,153.71,27.95,85,92,2.71,RU,1539326389
Shelburne,44.08,-80.2,46.4,70,20,12.75,CA,1539324000
Lira,2.25,32.9,66.97,100,76,4.61,UG,1539326390
Vestmannaeyjar,63.44,-20.27,46.4,81,40,18.34,IS,1539325860
Ribeira Grande,38.52,-28.7,68.0,77,40,27.51,PT,1539324000
Qandala,11.47,49.87,85.42,56,0,2.93,SO,1539326391
Rio Gallegos,-51.62,-69.22,44.6,65,75,4.7,AR,1539324000
Trairi,-3.28,-39.27,79.03,100,76,21.72,BR,1539326392
Skeldon,5.88,-57.13,81.1,100,8,15.68,GY,1539326392
Atuona,-9.8,-139.03,79.61,100,76,19.71,PF,1539326392
Laguna,27.52,-110.01,72.14,66,92,2.71,MX,1539326310
Karratha,-20.74,116.85,99.1,14,0,14.45,AU,1539326393
Saldanha,41.42,-6.55,49.78,96,8,7.52,PT,1539326393
Ancud,-41.87,-73.83,37.63,79,44,2.71,CL,1539326394
Hermanus,-34.42,19.24,53.87,85,76,7.4,ZA,1539326394
Moa,20.66,-74.95,69.94,99,36,1.36,CU,1539326395
Buraydah,26.33,43.97,86.0,28,0,8.05,SA,1539324000
Barrow,-38.31,-60.23,50.14,48,88,7.18,AR,1539326395
San Patricio,-26.98,-56.83,71.29,95,80,5.84,PY,1539326396
Noumea,-22.28,166.46,77.0,65,36,12.75,NC,1539324000
Marsh Harbour,26.54,-77.06,82.4,100,88,13.89,BS,1539326397
Khatanga,71.98,102.47,28.09,88,0,14.79,RU,1539326397
Lakeville,41.85,-70.95,66.02,89,90,5.82,US,1539325500
New Norfolk,-42.78,147.06,62.6,59,20,12.75,AU,1539324000
Pevek,69.7,170.27,30.97,100,8,6.4,RU,1539326398
Pilot Butte,50.48,-104.42,19.4,85,5,9.17,CA,1539324000
Puerto Ayora,-0.74,-90.35,69.4,100,0,11.65,EC,1539326399
Geraldton,49.72,-86.95,28.4,86,90,11.41,CA,1539324000
Mogadishu,2.04,45.34,82.4,74,75,13.87,SO,1539320400
Nalut,31.86,10.98,67.19,63,88,8.86,LY,1539326400
Worthington,43.62,-95.6,33.08,92,1,3.38,US,1539324900
Porbandar,21.64,69.61,89.6,55,40,6.93,IN,1539322200
Cockburn Town,21.46,-71.14,80.83,100,68,11.99,TC,1539326401
Kapaa,22.08,-159.32,75.92,81,40,5.95,US,1539323760
Kodiak,39.95,-94.76,46.04,76,90,3.36,US,1539323580
Saint-Philippe,45.36,-73.48,51.8,92,90,5.82,CA,1539326100
Georgetown,6.8,-58.16,75.2,94,0,4.7,GY,1539320400
Hasaki,35.73,140.83,69.8,72,75,10.29,JP,1539324000
Albany,42.65,-73.75,60.08,72,90,11.41,US,1539323640
Butaritari,3.07,172.79,83.75,100,24,5.61,KI,1539326404
Thibodaux,29.8,-90.82,69.98,79,1,8.05,US,1539324900
Kahului,20.89,-156.47,80.06,74,75,10.29,US,1539323760
Sitka,37.17,-99.65,46.72,98,92,11.32,US,1539326405
Dikson,73.51,80.55,32.81,100,88,21.72,RU,1539326405
Talara,-4.58,-81.27,59.59,93,32,4.38,PE,1539326406
Texas City,29.38,-94.9,77.0,60,1,6.93,US,1539326100
Santander Jimenez,24.22,-98.47,72.37,100,76,2.48,MX,1539326270
Panaba,21.28,-88.27,74.53,94,0,2.37,MX,1539326407
Pangnirtung,66.15,-65.72,14.23,100,0,12.44,CA,1539326407
Thompson,55.74,-97.86,14.0,78,5,5.17,CA,1539324000
Jamestown,-33.21,138.6,73.63,36,44,6.17,AU,1539326402
Fortuna,38.18,-1.13,62.6,88,0,3.15,ES,1539325800
Sioux Lookout,50.1,-91.92,28.4,92,90,5.82,CA,1539324840
Tuktoyaktuk,69.44,-133.03,25.84,97,76,13.11,CA,1539326409
Praia,-20.25,-43.81,65.08,86,44,3.71,BR,1539326410
Port Alfred,-33.59,26.89,61.48,100,92,13.0,ZA,1539326410
Yellowknife,62.45,-114.38,28.4,79,90,12.75,CA,1539324000
Upernavik,72.79,-56.15,24.62,100,0,12.55,GL,1539326411
Chuy,-33.69,-53.46,55.27,97,100,15.01,UY,1539326411
Tasiilaq,65.61,-37.64,37.4,74,92,26.4,GL,1539323400
Hilo,19.71,-155.08,73.04,96,90,8.41,US,1539324660
Marawi,8.0,124.29,76.91,88,68,3.15,PH,1539326412
Beringovskiy,63.05,179.32,40.78,100,92,23.73,RU,1539326413
Natal,-5.81,-35.21,77.0,83,40,11.41,BR,1539324000
Hobart,-42.88,147.33,62.6,59,20,12.75,AU,1539324000
Nikolskoye,59.7,30.79,46.4,100,90,4.47,RU,1539324000
Qaanaaq,77.48,-69.36,22.91,100,68,11.32,GL,1539326414
Burnie,-41.05,145.91,54.73,100,12,13.11,AU,1539326414
Sorland,67.67,12.69,50.0,93,0,11.41,NO,1539325200
Dunedin,-45.87,170.5,37.99,82,92,15.46,NZ,1539326292
Nanortalik,60.14,-45.24,31.78,99,36,22.95,GL,1539326416
Bilibino,68.06,166.44,18.95,92,44,2.37,RU,1539326416
Miramar,10.09,-84.73,68.0,94,90,1.12,CR,1539324000
Qaqortoq,60.72,-46.03,24.8,58,24,14.67,GL,1539323400
Mbulu,-3.86,35.54,66.43,76,12,8.41,TZ,1539326417
Talnakh,69.49,88.39,31.91,89,88,22.62,RU,1539326418
Mana,43.52,20.24,46.4,100,0,1.12,RS,1539324000
Cardenas,27.62,-110.24,73.94,78,92,5.95,MX,1539326418
Fort Nelson,58.81,-122.69,29.35,88,48,4.05,CA,1539326419
Hobyo,5.35,48.53,82.22,71,12,17.36,SO,1539326420
Luderitz,-26.65,15.16,64.4,48,76,11.41,NA,1539324000
Avarua,-21.21,-159.78,74.21,100,92,19.48,CK,1539326420
Darhan,49.49,105.92,51.8,65,80,7.74,MN,1539326421
Airai,-8.93,125.41,89.02,30,0,2.37,TL,1539326421
Mantua,45.16,10.79,60.8,93,20,1.12,IT,1539323700
Zhongxing,32.02,116.14,69.58,50,0,9.42,CN,1539326422
Chokurdakh,70.62,147.9,23.05,86,88,3.71,RU,1539326422
Longyearbyen,78.22,15.63,35.6,74,75,14.99,NO,1539325200
Almeirim,39.21,-8.63,62.6,93,20,3.36,PT,1539324000
Madang,-5.21,145.81,80.6,90,32,5.17,PG,1539326423
Bluff,-23.58,149.07,69.04,96,92,6.29,AU,1539326424
Xai-Xai,-25.04,33.64,78.85,75,8,8.63,MZ,1539326424
Lac-Megantic,45.58,-70.88,55.4,93,90,6.17,CA,1539324900
Henties Bay,-22.12,14.28,59.0,97,48,3.6,NA,1539326425
Brigantine,39.41,-74.36,71.06,96,90,18.34,US,1539325620
Pokhara,28.21,83.99,69.35,54,0,2.71,NP,1539326425
Carndonagh,55.25,-7.27,53.6,76,20,21.92,IE,1539325200
At-Bashi,41.17,75.81,40.33,65,8,2.37,KG,1539326426
Aksarka,66.56,67.8,30.29,95,20,11.43,RU,1539326426
Ingham,-18.65,146.16,77.95,89,48,8.08,AU,1539326427
Markivka,49.52,39.57,43.79,74,0,7.29,UA,1539326427
Cidreira,-30.17,-50.22,64.09,79,92,18.48,BR,1539326428
Salekhard,66.54,66.62,32.36,90,44,10.98,RU,1539326428
Torbay,47.66,-52.73,32.0,100,40,8.05,CA,1539324000
Mnogovershinnyy,53.94,139.92,46.22,60,36,4.27,RU,1539326429
Sabzevar,36.21,57.68,62.24,30,80,3.83,IR,1539326429
Cherskiy,68.75,161.3,25.84,100,76,2.37,RU,1539326429
Sambava,-14.27,50.17,74.75,100,92,16.46,MG,1539326430
